team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Western Illinois,2710,Leathernecks,W Illinois,WIU,Western Illinois Leathernecks,W Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2710.png,-90.68374,40.46421,The Summit League[k]
Arkansas State,2032,Red Wolves,Arkansas State,ARST,Arkansas State Red Wolves,Arkansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png,-90.66648,35.80838,Sun Belt Conference
Southeastern Louisiana,2545,Lions,SE Louisiana,SELA,SE Louisiana Lions,SE Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2545.png,-90.4712,30.51519,Southland Conference
Mississippi State,344,Bulldogs,Mississippi St,MSST,Mississippi State Bulldogs,Mississippi St,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png,-90.33967,33.51186,Southeastern Conference
Mississippi Valley State,2400,Delta Devils,Miss Valley St,MVSU,Mississippi Valley State Delta Devils,Miss Valley St,https://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2400.png,-90.33967,33.51186,Southwestern Athletic Conference
Saint Louis,139,Billikens,Saint Louis,SLU,Saint Louis Billikens,Saint Louis,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/139.png,-90.23372,38.63533,Atlantic 10 Conference
Jackson State,2296,Tigers,Jackson State,JKST,Jackson State Tigers,Jackson State,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2296.png,-90.18481,32.29876,Southwestern Athletic Conference
New Orleans,2443,Privateers,New Orleans,UNO,New Orleans Privateers,New Orleans,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2443.png,-90.07507,29.95465,Southland Conference
Tulane,2655,Green Wave,Tulane,TULN,Tulane Green Wave,Tulane,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2655.png,-90.07507,29.95465,American Athletic Conference
Memphis,235,Tigers,Memphis,MEM,Memphis Tigers,Memphis,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png,-89.93731,35.1187,American Athletic Conference
Bradley,71,Braves,Bradley,BRAD,Bradley Braves,Bradley,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/71.png,-89.63121,40.74531,Missouri Valley Conference
